GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US06057,06057,United States - California - Nevada County,Nevada County,60610,2262
0100000US,,United States,0500000US06059,06059,United States - California - Orange County,Orange County,81851,570
0100000US,,United States,0500000US06061,06061,United States - California - Placer County,Placer County,80488,1431
0100000US,,United States,0500000US06063,06063,United States - California - Plumas County,Plumas County,50266,3476
0100000US,,United States,0500000US06065,06065,United States - California - Riverside County,Riverside County,60807,429
0100000US,,United States,0500000US06067,06067,United States - California - Sacramento County,Sacramento County,60239,475
0100000US,,United States,0500000US06069,06069,United States - California - San Benito County,San Benito County,80760,3889
0100000US,,United States,0500000US06071,06071,United States - California - San Bernardino County,San Bernardino County,57156,594
0100000US,,United States,0500000US06073,06073,United States - California - San Diego County,San Diego County,70588,617
0100000US,,United States,0500000US06075,06075,United States - California - San Francisco County,San Francisco County,96265,1349
0100000US,,United States,0500000US06077,06077,United States - California - San Joaquin County,San Joaquin County,57813,863
0100000US,,United States,0500000US06079,06079,United States - California - San Luis Obispo County,San Luis Obispo County,67175,1720
0100000US,,United States,0500000US06081,06081,United States - California - San Mateo County,San Mateo County,105667,1195
0100000US,,United States,0500000US06083,06083,United States - California - Santa Barbara County,Santa Barbara County,68023,1420
0100000US,,United States,0500000US06085,06085,United States - California - Santa Clara County,Santa Clara County,106761,858
0100000US,,United States,0500000US06087,06087,United States - California - Santa Cruz County,Santa Cruz County,73663,1682
0100000US,,United States,0500000US06089,06089,United States - California - Shasta County,Shasta County,47258,1104
0100000US,,United States,0500000US06091,06091,United States - California - Sierra County,Sierra County,44190,9650
0100000US,,United States,0500000US06093,06093,United States - California - Siskiyou County,Siskiyou County,40884,1957
0100000US,,United States,0500000US06095,06095,United States - California - Solano County,Solano County,72950,1244
0100000US,,United States,0500000US06097,06097,United States - California - Sonoma County,Sonoma County,71769,1046
0100000US,,United States,0500000US06099,06099,United States - California - Stanislaus County,Stanislaus County,54260,976
0100000US,,United States,0500000US06101,06101,United States - California - Sutter County,Sutter County,54347,2000
0100000US,,United States,0500000US06103,06103,United States - California - Tehama County,Tehama County,42512,2803
0100000US,,United States,0500000US06105,06105,United States - California - Trinity County,Trinity County,36563,5946
0100000US,,United States,0500000US06107,06107,United States - California - Tulare County,Tulare County,44871,1286
