fips,2000_population,2010_population,2017_population,2000_pct_male,2010_pct_male,2017_pct_male,2000_pct_white,2010_pct_white,2017_pct_white,2000_pct_25_39,2010_pct_25_39,2017_pct_25_39,2000_pct_hs_diploma,2010_pct_hs_diploma,2017_pct_hs_diploma,2000_median_hh_inc,2010_median_hh_inc,2017_median_hh_inc,2000_pov_pct,2010_pov_pct,2017_pov_pct,2000_unemploy_rate,2010_unemploy_rate,2017_unemploy_rate,2000_deaths,2010_deaths,2017_deaths,2000_mean_deaths,2010_mean_deaths,2017_mean_deaths,2000_death_rate,2010_death_rate,2017_death_rate,2000_log_death_rate,2010_log_death_rate,2017_log_death_rate,2000_deaths_age_adj,2010_deaths_age_adj,2017_deaths_age_adj,predicted_deaths_age_adj
1091,22555,20946,19366,0.469385945,0.470877495,0.46994733,0.477499446,0.469397498,0.468501497,0.185856795,0.163945383,0.170918104,0.374,0.799,0.396,27025,30819,32255,0.259,0.267,0.256,0.052,0.142,0.056,5,5,5,0.833333333,0.833333333,0.833333333,3.694672283,3.978484357,4.303074116,1.306891858,1.380900932,1.459329678,5,5,5,6.127554126
1093,31160,30817,29771,0.495089859,0.496414317,0.494440899,0.953626444,0.945581984,0.941251554,0.207349166,0.169743972,0.167545598,0.329,0.7,0.353,27475,32224,35719,0.156,0.182,0.176,0.067,0.166,0.048,5,5,5,0.833333333,0.833333333,0.833333333,2.674368849,2.704135163,2.799144581,0.983713408,0.994782143,1.029313864,5,5,5,13.75300106
1095,82306,93124,95609,0.486987583,0.492579786,0.493049817,0.967256336,0.946028951,0.931188486,0.213131485,0.188146987,0.183717014,0.305,0.732,0.313,32167,37396,41104,0.147,0.203,0.21,0.048,0.102,0.039,5,5,5,0.833333333,0.833333333,0.833333333,1.012481877,0.894864195,0.871605532,0.01240462,-0.111083309,-0.137418329,5,5,5,14.66866048
1097,400060,413319,414515,0.477858321,0.48025617,0.476834373,0.633794931,0.609969539,0.594084653,0.207173924,0.191752617,0.201394401,0.319,0.821,0.326,33710,40476,45802,0.185,0.191,0.193,0.049,0.113,0.052,80,125,112,13.33333333,20.83333333,18.66666667,3.332833408,5.040497372,4.503254808,1.203822816,1.617504762,1.504800426,3.4,5.3,4.5,9.647060079
1099,24266,23007,21302,0.475644935,0.482070674,0.476152474,0.578628534,0.553874908,0.553422214,0.19372785,0.165254053,0.159327763,0.344,0.762,0.467,29093,29810,26036,0.213,0.25,0.337,0.064,0.195,0.067,5,5,5,0.833333333,0.833333333,0.833333333,3.434160279,3.622086032,3.911995744,1.233772436,1.287050112,1.364047664,5,5,5,8.105535608
1101,223337,#N/A,#N/A,0.476110094,#N/A,#N/A,0.491575511,#N/A,#N/A,0.221033685,#N/A,#N/A,0.243,#N/A,#N/A,35962,#N/A,#N/A,0.173,#N/A,#N/A,0.042,#N/A,#N/A,5,#N/A,#N/A,0.833333333,#N/A,#N/A,0.373128202,#N/A,#N/A,-0.985833212,#N/A,#N/A,5,#N/A,#N/A,4.824324243
1103,111200,#N/A,#N/A,0.490584532,#N/A,#N/A,0.863498201,#N/A,#N/A,0.218246403,#N/A,#N/A,0.303,#N/A,#N/A,37803,#N/A,#N/A,0.123,#N/A,#N/A,0.042,#N/A,#N/A,5,#N/A,#N/A,0.833333333,#N/A,#N/A,0.74940048,#N/A,#N/A,-0.288481753,#N/A,#N/A,5,#N/A,#N/A,6.118035699
1105,11816,10567,9319,0.457345972,0.470616069,0.467861359,0.311526743,0.302640295,0.311299496,0.170954638,0.156335762,0.154308402,0.304,0.73,0.42,20200,26270,22973,0.354,0.238,0.419,0.092,0.199,0.078,5,5,5,0.833333333,0.833333333,0.833333333,7.052584067,7.886186556,8.942304253,1.953394084,2.065112692,2.190793302,5,5,5,5.527746337
1107,20922,19749,20182,0.468358666,0.478252063,0.498711723,0.563999618,0.568535116,0.577247052,0.184446994,0.159906831,0.195273016,0.378,0.767,0.378,26254,27150,36220,0.249,0.262,0.229,0.075,0.137,0.054,5,5,5,0.833333333,0.833333333,0.833333333,3.983048147,4.219622934,4.12909193,1.382047392,1.439745772,1.418057511,5,5,5,5.463148797
1109,29728,32963,33435,0.47255113,0.477171374,0.483804397,0.609526372,0.58920608,0.576043069,0.190729279,0.172648121,0.172812921,0.3,0.769,0.33,25551,28065,35684,0.231,0.291,0.263,0.055,0.095,0.049,5,5,5,0.833333333,0.833333333,0.833333333,2.803193398,2.528087047,2.492398186,1.030759267,0.927462909,0.913245374,5,5,5,6.109999236
1111,22421,22937,22683,0.483252308,0.484457427,0.485738218,0.768966594,0.781619218,0.77736631,0.194415949,0.163796486,0.159634969,0.32,0.71,0.367,28675,35137,39485,0.17,0.199,0.187,0.048,0.149,0.044,5,5,5,0.833333333,0.833333333,0.833333333,3.716753639,3.63314005,3.673823274,1.31285061,1.290097302,1.301232884,5,5,5,8.323749313
1113,49697,53307,57028,0.476225929,0.478680098,0.481535386,0.572549651,0.549196166,0.503366767,0.210918164,0.201268126,0.212737603,0.33,0.759,0.324,27492,32064,38988,0.199,0.218,0.209,0.046,0.123,0.043,5,5,5,0.833333333,0.833333333,0.833333333,1.676828246,1.563271865,1.461270487,0.51690406,0.446780975,0.379306254,5,5,5,8.753244466
1115,65111,83566,87976,0.504139086,0.501232559,0.496260344,0.904777995,0.891750233,0.880046831,0.22532291,0.205227006,0.197519778,0.346,0.789,0.362,37285,48425,53483,0.121,0.113,0.137,0.037,0.109,0.04,5,24,52,0.833333333,4,8.666666667,1.279865665,4.786635713,9.851171532,0.246755123,1.565827808,2.287590385,5,4.9,9.9,14.45756334
1117,144524,196095,213729,0.490236916,0.489431143,0.483677929,0.905517423,0.856406334,0.8325122,0.245827683,0.2153803,0.191593092,0.23,0.915,0.209,55440,67534,74063,0.063,0.064,0.083,0.027,0.078,0.032,5,87,104,0.833333333,14.5,17.33333333,0.5766055,7.394375175,8.109958561,-0.550596955,2.0007196,2.093092759,5,7.6,8.7,11.0975226
1119,14747,13730,12780,0.459008612,0.454333576,0.457824726,0.261883773,0.245739257,0.253677621,0.179222893,0.152002913,0.14170579,0.311,0.725,0.397,18911,20994,21663,0.387,0.402,0.36,0.091,0.149,0.066,5,5,5,0.833333333,0.833333333,0.833333333,5.650866843,6.069434329,6.520605112,1.731808957,1.803265409,1.87496718,5,5,5,5.573966796
1121,80355,#N/A,#N/A,0.488930371,#N/A,#N/A,0.672839276,#N/A,#N/A,0.208873126,#N/A,#N/A,0.344,#N/A,#N/A,31628,#N/A,#N/A,0.176,#N/A,#N/A,0.052,#N/A,#N/A,5,#N/A,#N/A,0.833333333,#N/A,#N/A,1.037064692,#N/A,#N/A,0.036394311,#N/A,#N/A,5,#N/A,#N/A,5.1784386
